1thExec, 2thExec, 3rdExec, 4thExec, 5thExec
0.292996, 0.277283, 0.284911, 0.288713, 0.277086
0.252138, 0.240482, 0.252335, 0.244797, 0.248059
0.210660, 0.211632, 0.202908, 0.207517, 0.208234
0.168568, 0.161339, 0.166655, 0.163373, 0.167980

1thExec, 2thExec, 3rdExec, 4thExec, 5thExec
5.279257, 5.292210, 5.269429, 5.312422, 5.350684
1.386627, 1.375055, 1.386330, 1.361446, 1.390019
0.633696, 0.634250, 0.641732, 0.635449, 0.634027
0.368282, 0.362567, 0.368402, 0.365703, 0.363524
0.305588, 0.290320, 0.308077, 0.289959, 0.304608
0.227333, 0.228367, 0.232493, 0.256323, 0.227808
0.183308, 0.201718, 0.203939, 0.204239, 0.197614
0.177393, 0.163104, 0.154144, 0.156910, 0.162685
