1thExec, 2thExec, 3rdExec, 4thExec, 5thExec
5.389587, 5.447913, 5.374850, 5.376177, 5.388189
5.484277, 5.504582, 5.553384, 5.458113, 5.547253
5.694709, 5.823700, 5.875920, 6.296049, 5.837709
6.148585, 6.310236, 6.428861, 6.503829, 6.581595
7.515700, 7.755650, 7.750049, 7.812141, 7.961242
8.856639, 8.884680, 8.987487, 9.088571, 8.896159
10.720361, 10.783125, 10.913937, 10.885230, 10.960216
11.132135, 10.982638, 11.172462, 11.151085, 11.348030
